id,Name,Type,Network_Device,Fiber_Switch,Blade_Chassis,Virtual_Host,In_Service,Service_Level,Serial_no,Asset_no,UUID,Profile_to_auto_assign_asset_no,Hardware,Customer,Device_Virtual_Host,Blade_slot_no,Blade_slot_no,Device_Host_Chassis,Notes,Device_Subtype,Virtual_Subtype,Additional_Location_Info,Building,Room,Rack,First_added,Last_updated,Storage_Room,live_id,Discovery_spec
347,TXARL1-pworker098,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003ZW,E2009054990E016506011572,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:22,9/14/2016 16:38:32,None,None,None
348,TXARL1-pworker099,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510040H,E2009054990E016506011557,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:22,9/14/2016 16:38:32,None,None,None
349,TXARL1-pworker100,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ5100401,E2009054990E016506011556,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:22,9/14/2016 16:38:33,None,None,None
350,TXARL1-pworker101,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003W1,E2009054990E016506011555,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:22,9/14/2016 16:38:33,None,None,None
351,TXARL1-pworker102,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003VZ,E2009054990E016506011550,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:22,9/14/2016 16:38:33,None,None,None
352,TXARL1-pworker103,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003Y6,E2009054990E016506011547,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:23,9/14/2016 16:38:33,None,None,None
353,TXARL1-pworker104,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003Y7,E2009054990E016506011545,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:23,9/14/2016 16:38:33,None,None,None
354,TXARL1-pworker105,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003Y5,E2009054990E016506011526,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:23,9/14/2016 16:38:33,None,None,None
355,TXARL1-pworker106,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003ZV,E2009054990E016506011523,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:23,9/14/2016 16:38:33,None,None,None
356,TXARL1-pworker107,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003T9,E2009054990E016506011504,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:23,9/14/2016 16:38:33,None,None,None
357,TXARL1-pworker108,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003XR,E2009054990E016506011482,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:23,9/14/2016 16:38:33,None,None,None
358,TXARL1-pworker109,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003XX,E2009054990E016506011479,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:23,9/14/2016 16:38:33,None,None,None
359,TXARL1-pworker110,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510040L,E2009054990E016506011476,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:23,9/14/2016 16:38:33,None,None,None
360,TXARL1-pworker111,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003WL,E2009054990E016506011453,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:23,9/14/2016 16:38:34,None,None,None
361,TXARL1-pworker112,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003T7,E2009054990E016506011427,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:24,9/14/2016 16:38:34,None,None,None
362,TXARL1-pworker113,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003Y8,34000803B9B3040000000238,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:24,9/14/2016 16:38:34,None,None,None
363,TXARL1-pworker114,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003ZZ,34000803B9B3040000000237,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:24,9/14/2016 16:38:34,None,None,None
364,TXARL1-pworker115,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003YS,34000803B9B3040000000236,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:24,9/14/2016 16:38:34,None,None,None
365,TXARL1-pworker116,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003VJ,34000803B9B3040000000235,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:24,9/14/2016 16:38:34,None,None,None
366,TXARL1-pworker117,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003V9,34000803B9B3040000000234,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:24,9/14/2016 16:38:34,None,None,None
367,TXARL1-pworker118,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003WR,34000803B9B3040000000233,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:24,9/14/2016 16:38:34,None,None,None
368,TXARL1-pworker119,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003ZG,34000803B9B3040000000232,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:24,9/14/2016 16:38:34,None,None,None
369,TXARL1-pworker120,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003X1,34000803B9B3040000000231,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:24,9/14/2016 16:38:34,None,None,None
370,TXARL1-pworker121,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003YH,34000803B9B3040000000230,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:25,9/14/2016 16:38:34,None,None,None
371,TXARL1-pworker122,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ51003W5,34000803B9B304000000022F,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:25,9/14/2016 16:38:34,None,None,None
372,TXARL1-pworker123,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510041J,34000803B9B304000000022E,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:25,9/14/2016 16:38:35,None,None,None
373,TXARL1-pworker124,unknown,FALSE,FALSE,FALSE,FALSE,TRUE,Production,MXQ510042C,34000803B9B304000000022D,,None,None,None,None,,,None,,None,1,,None,None,None,9/3/2016 20:11:25,9/14/2016 16:38:35,None,None,None
